1.0262529850006104, pressure_ambient
58.520967960357666, cell_approach
63.34085297584534, pressure_sealing
69.12662410736084, gigaseal
70.68977904319763, pressure_break-in
79.2412359714508, break-in
100.25489091873169, pipette_clogged
108.33305096626282, pipette_cleaned
133.17726707458496, pressure_sealing
135.78350806236267, gigaseal
137.3585081100464, pressure_break-in
145.93105792999268, break-in
151.03772807121277, pipette_clogged
152.44189286231995, pipette_cleaned
160.68659591674805, pipette_cleaned
182.6825511455536, pressure_sealing
185.41971683502197, gigaseal
187.0291211605072, pressure_break-in
195.62428402900696, break-in
196.99401879310608, pressure_break-in
212.9197781085968, pipette_clogged
214.3453710079193, pipette_cleaned
216.60203385353088, pressure_ambient
240.62116694450378, pressure_sealing
245.93292999267578, gigaseal
247.32662200927734, pressure_break-in
255.84432792663574, break-in
260.66128277778625, pipette_clogged
262.06388998031616, pipette_cleaned
275.1080000400543, pressure_ambient
300.66248393058777, pressure_sealing
305.73129200935364, gigaseal
307.8586208820343, pressure_break-in
316.41270780563354, break-in
324.45952105522156, pipette_clogged
325.7525677680969, pressure_ambient
325.9056830406189, pipette_cleaned
328.89812779426575, pressure_ambient
348.1032028198242, pressure_sealing
353.8294789791107, gigaseal
355.02146196365356, pressure_break-in
363.52972197532654, break-in
367.9295699596405, pipette_clogged
369.3438789844513, pipette_cleaned
380.9972758293152, pipette_broken
